"Rank","Value","Entry Count"
"323","GAO","3"
"324","HFA","3"
"325","IC","3"
"326","IG","3"
"327","KAG","3"
"328","L3X","3"
"329","LWM","3"
"330","M1G","3"
"331","MF7","3"
"332","MKX","3"
"333","MMX","3"
"334","MNU","3"
"335","O2C","3"
"336","O2G","3"
"337","OKN","3"
"338","OWR","3"
"339","PVX","3"
"340","RDG","3"
"341","RFJ","3"
"342","RY","3"
"343","S8U","3"
"344","T23","3"
"345","T3P","3"
"346","TCJ","3"
"347","TCP","3"
"348","TG","3"
"349","TTI","3"
"350","U31","3"
"351","U5P","3"
"352","U7B","3"
"353","UBD","3"
"354","UPS","3"
"355","WC7","3"
"356","YCO","3"
"357","YPE","3"
"358","ZAD","3"
"359","ZCY","3"
"360","ZGU","3"
"361","10C","2"
"362","18M","2"
"363","18Q","2"
"364","1TW","2"
"365","2AD","2"
"366","2AR","2"
"367","2BT","2"
"368","2BU","2"
"369","2FI","2"
"370","2JU","2"
"371","3KA","2"
"372","3ZO","2"
"373","40A","2"
"374","40C","2"
"375","40G","2"
"376","40T","2"
"377","48Z","2"
"378","4DG","2"
"379","4E9","2"
"380","4JA","2"
"381","4MF","2"
"382","5CF","2"
"383","5DB","2"
"384","5UA","2"
"385","63G","2"
"386","63H","2"
"387","63T","2"
"388","6FU","2"
"389","6MD","2"
"390","6MI","2"
"391","6OO","2"
"392","7TE","2"
"393","8MG","2"
"394","8OS","2"
"395","8PI","2"
"396","8Y9","2"
"397","9O4","2"
"398","9QV","2"
"399","A1A0L","2"
"400","A1H3G","2"
"401","A40","2"
"402","A5O","2"
"403","AD2","2"
"404","ADN","2"
"405","ADS","2"
"406","AFG","2"
"407","ATL","2"
"408","AVC","2"
"409","AWC","2"
"410","B86","2"
"411","BGR","2"
"412","BTN","2"
"413","C46","2"
"414","C7S","2"
"415","CMR","2"
"416","CVC","2"
"417","D3N","2"
"418","DP","2"
"419","DXD","2"
"420","E1X","2"
"421","EIX","2"
"422","EWC","2"
"423","G3A","2"
"424","GCP","2"
"425","GMS","2"
"426","GNG","2"
"427","GRB","2"
"428","HN0","2"
"429","IQG","2"
"430","K2F","2"
"431","K39","2"
"432","L1J","2"
"433","L8P","2"
"434","LDG","2"
"435","LR6","2"
"436","N2G","2"
"437","N79","2"
"438","NF2","2"
"439","O2Z","2"
"440","OKQ","2"
"441","P2U","2"
"442","P9G","2"
"443","PBT","2"
"444","PE6","2"
"445","PGN","2"
"446","PGP","2"
"447","PYP","2"
"448","Q61","2"
"449","QCK","2"
"450","R","2"
"451","RMP","2"
"452","RUS","2"
"453","S02","2"
"454","SDG","2"
"455","SOS","2"
"456","T0N","2"
"457","T32","2"
"458","T49","2"
"459","T5O","2"
"460","TDY","2"
"461","THP","2"
"462","TM2","2"
"463","TTM","2"
"464","U48","2"
